scenario,cache_state,sql_limit,archetype,score
energy,cold,24000,dataThroughTtp-compressed,0.079997
energy,warm,27000,computeToData-cached,0.983340
energy,warm,27000,dataThroughTtp-cached,0.981664
energy,warm,27000,computeToData-compressed,0.223308
energy,warm,27000,computeToData,0.191346
energy,warm,27000,dataThroughTtp,0.017142
energy,warm,27000,dataThroughTtp-compressed,0.016836
energy,cold,27000,computeToData-compressed,0.929534
energy,cold,27000,computeToData,0.840151
energy,cold,27000,computeToData-cached,0.840151
energy,cold,27000,dataThroughTtp,0.073281
energy,cold,27000,dataThroughTtp-cached,0.073281
energy,cold,27000,dataThroughTtp-compressed,0.071279
energy,warm,30000,computeToData-cached,0.984775
energy,warm,30000,dataThroughTtp-cached,0.982075
energy,warm,30000,computeToData-compressed,0.227060
energy,warm,30000,computeToData,0.193836
energy,warm,30000,dataThroughTtp,0.015682
energy,warm,30000,dataThroughTtp-compressed,0.015425
energy,cold,30000,computeToData-compressed,0.936298
energy,cold,30000,computeToData,0.840108
energy,cold,30000,computeToData-cached,0.840108
energy,cold,30000,dataThroughTtp,0.066264
energy,cold,30000,dataThroughTtp-cached,0.066264
energy,cold,30000,dataThroughTtp-compressed,0.064597
latency,warm,3000,dataThroughTtp-cached,0.970427
latency,warm,3000,computeToData-cached,0.957197
latency,warm,3000,computeToData,0.046914
latency,warm,3000,computeToData-compressed,0.046887
latency,warm,3000,dataThroughTtp,0.043862
latency,warm,3000,dataThroughTtp-compressed,0.043810
latency,cold,3000,computeToData,0.511084
latency,cold,3000,computeToData-cached,0.511084
latency,cold,3000,computeToData-compressed,0.508499
latency,cold,3000,dataThroughTtp-compressed,0.501065
latency,cold,3000,dataThroughTtp,0.491501
latency,cold,3000,dataThroughTtp-cached,0.491501
latency,warm,6000,dataThroughTtp-cached,0.974290
latency,warm,6000,computeToData-cached,0.963859
latency,warm,6000,computeToData-compressed,0.110906
latency,warm,6000,computeToData,0.106883
latency,warm,6000,dataThroughTtp-compressed,0.036914
latency,warm,6000,dataThroughTtp,0.036157
latency,cold,6000,computeToData-compressed,0.748007
latency,cold,6000,computeToData,0.739825
latency,cold,6000,computeToData-cached,0.739825
latency,cold,6000,dataThroughTtp-compressed,0.266348
latency,cold,6000,dataThroughTtp,0.252083
latency,cold,6000,dataThroughTtp-cached,0.252083
latency,warm,9000,dataThroughTtp-cached,0.976839
latency,warm,9000,computeToData-cached,0.968749
latency,warm,9000,computeToData-compressed,0.161502
latency,warm,9000,computeToData,0.154396
latency,warm,9000,dataThroughTtp-compressed,0.032848
latency,warm,9000,dataThroughTtp,0.031266
latency,cold,9000,computeToData-compressed,0.833784
latency,cold,9000,computeToData,0.823974
latency,cold,9000,computeToData-cached,0.823974
latency,cold,9000,dataThroughTtp-compressed,0.180836
latency,cold,9000,dataThroughTtp,0.166323
latency,cold,9000,dataThroughTtp-cached,0.166323
latency,warm,12000,dataThroughTtp-cached,0.978554
latency,warm,12000,computeToData-cached,0.972476
latency,warm,12000,computeToData-compressed,0.200263
latency,warm,12000,computeToData,0.190806
latency,warm,12000,dataThroughTtp-compressed,0.030075
latency,warm,12000,dataThroughTtp,0.027537
latency,cold,12000,computeToData-compressed,0.876317
latency,cold,12000,computeToData,0.864768
latency,cold,12000,computeToData-cached,0.864768
latency,cold,12000,dataThroughTtp-compressed,0.139596
latency,cold,12000,dataThroughTtp,0.123765
latency,cold,12000,dataThroughTtp-cached,0.123765
latency,warm,15000,dataThroughTtp-cached,0.979730
latency,warm,15000,computeToData-cached,0.975411
latency,warm,15000,computeToData-compressed,0.230683
latency,warm,15000,computeToData,0.219386
latency,warm,15000,dataThroughTtp-compressed,0.028156
latency,warm,15000,dataThroughTtp,0.024602
latency,cold,15000,computeToData-compressed,0.901576
latency,cold,15000,computeToData,0.888026
latency,cold,15000,computeToData-cached,0.888026
latency,cold,15000,dataThroughTtp-compressed,0.116134
latency,cold,15000,dataThroughTtp,0.098489
latency,cold,15000,dataThroughTtp-cached,0.098489
latency,warm,18000,dataThroughTtp-cached,0.980546
latency,warm,18000,computeToData-cached,0.977780
latency,warm,18000,computeToData-compressed,0.255137
latency,warm,18000,computeToData,0.242362
latency,warm,18000,dataThroughTtp-compressed,0.026818
latency,warm,18000,dataThroughTtp,0.022231
latency,cold,18000,computeToData-compressed,0.918281
latency,cold,18000,computeToData,0.902626
latency,cold,18000,computeToData-cached,0.902626
latency,cold,18000,dataThroughTtp-compressed,0.101402
latency,cold,18000,dataThroughTtp,0.081773
latency,cold,18000,dataThroughTtp-cached,0.081773
latency,warm,21000,dataThroughTtp-cached,0.981119
latency,warm,21000,computeToData-cached,0.979734
latency,warm,21000,computeToData-compressed,0.275197
latency,warm,21000,computeToData,0.261211
latency,warm,21000,dataThroughTtp-compressed,0.025880
latency,warm,21000,dataThroughTtp,0.020277
latency,cold,21000,computeToData-compressed,0.930140
latency,cold,21000,computeToData,0.912392
latency,cold,21000,computeToData-cached,0.912392
latency,cold,21000,dataThroughTtp-compressed,0.091526
latency,cold,21000,dataThroughTtp,0.069906
latency,cold,21000,dataThroughTtp-cached,0.069906
latency,warm,24000,dataThroughTtp-cached,0.981522
latency,warm,24000,computeToData-cached,0.981372
latency,warm,24000,computeToData-compressed,0.291936
latency,warm,24000,computeToData,0.276941
latency,warm,24000,dataThroughTtp-compressed,0.025223
latency,warm,24000,dataThroughTtp,0.018639
latency,cold,24000,computeToData-compressed,0.938993
latency,cold,24000,computeToData,0.919231
latency,cold,24000,computeToData-cached,0.919231
latency,cold,24000,dataThroughTtp-compressed,0.084589
latency,cold,24000,dataThroughTtp,0.061048
latency,cold,24000,dataThroughTtp-cached,0.061048
latency,warm,27000,computeToData-cached,0.982766
latency,warm,27000,dataThroughTtp-cached,0.981806
latency,warm,27000,computeToData-compressed,0.306106
latency,warm,27000,computeToData,0.290257
latency,warm,27000,dataThroughTtp-compressed,0.024764
latency,warm,27000,dataThroughTtp,0.017245
latency,cold,27000,computeToData-compressed,0.945853
latency,cold,27000,computeToData,0.924190
latency,cold,27000,computeToData-cached,0.924190
latency,cold,27000,dataThroughTtp-compressed,0.079538
latency,cold,27000,dataThroughTtp,0.054184
latency,cold,27000,dataThroughTtp-cached,0.054184
latency,warm,30000,computeToData-cached,0.983965
latency,warm,30000,dataThroughTtp-cached,0.982006
latency,warm,30000,computeToData-compressed,0.318249
latency,warm,30000,computeToData,0.301669
latency,warm,30000,dataThroughTtp-compressed,0.024448
latency,warm,30000,dataThroughTtp,0.016045
latency,cold,30000,computeToData-compressed,0.951324
latency,cold,30000,computeToData,0.927888
latency,cold,30000,computeToData-cached,0.927888
latency,cold,30000,dataThroughTtp-compressed,0.075754
latency,cold,30000,dataThroughTtp,0.048709
latency,cold,30000,dataThroughTtp-cached,0.048709
monetary,warm,3000,dataThroughTtp-cached,0.922758
monetary,warm,3000,dataThroughTtp,0.650157
monetary,warm,3000,dataThroughTtp-compressed,0.649747
monetary,warm,3000,computeToData-cached,0.357055
monetary,warm,3000,computeToData,0.078965
monetary,warm,3000,computeToData-compressed,0.078629
monetary,cold,3000,dataThroughTtp-compressed,0.911952
monetary,cold,3000,dataThroughTtp,0.911857
monetary,cold,3000,dataThroughTtp-cached,0.911857
monetary,cold,3000,computeToData,0.088393
monetary,cold,3000,computeToData-cached,0.088393
monetary,cold,3000,computeToData-compressed,0.088143
monetary,warm,6000,dataThroughTtp-cached,0.926309
monetary,warm,6000,dataThroughTtp-compressed,0.598219
monetary,warm,6000,dataThroughTtp,0.597977
monetary,warm,6000,computeToData-cached,0.402815
monetary,warm,6000,computeToData-compressed,0.087741
monetary,warm,6000,computeToData,0.086997
monetary,cold,6000,dataThroughTtp-compressed,0.899990
monetary,cold,6000,dataThroughTtp,0.898846
monetary,cold,6000,dataThroughTtp-cached,0.898846
monetary,cold,6000,computeToData-compressed,0.101365
monetary,cold,6000,computeToData,0.100557
